Source: sourcetag (For global data see Assumptions.txt with notes by Viktor Rosenberg 2026.07.21); timestamp; name <email>
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,Africa,Asia-Rest,China,Europe,FSU,India,Japan + Republic of Korea,Central & South America,Middle East,North America,Oceania
59,0.3012859,0.04650095,0.34076415,0.2625106,0.084847,0.0227341,0.019924,0.2876621,0.02193765,0.1177794,0.32345985,0.30617595,0.24126145,0.0072658,0.2693378,0.0097104,0.06440875,0.009962,0.05501625,0.24369415,0.3100902,0.0054604,0.2975306,0.2021793,0.0097325,0.02895865,0.0482222,0.0362134,0.320840632,0.32345985,0.5772271213322759,0.1096445193929174,0.05649089108910892,0.1096854740061162,0.3824182266009852,0.4995295180722893,0,0.02732206165703276,0.6762669527896996,0,0.010975411522633746
60,0.3052622,0.08414235,0.3814409,0.30748665,0.0824602,0.0316863,0.04624765,0.4002021,0.02616895,0.1629484,0.35512065,0.378857856,0.2719609,0.04466155,0.3253052,0.01774545,0.10771115,0.0257448,0.0522699,0.36924085,0.3451697,0.01023655,0.38238355,0.2602462,0.02648175,0.0322388,0.04312475,0.0405212,0.361290318,0.35512065,0.6173199841395718,0.04141787521079258,0.013748910891089108,0.14116070336391437,0.24290591133004927,0.33270843373493975,0,0.1096631021194605,0.6035098712446353,0,0.0017416666666666668
61,0.2578747,0.10272505,0.3597846,0.29794795,0.06075545,0.0313395,0.0600168,0.4568138,0.01471605,0.18028245,0.32329325,0.373467156,0.24529895,0.1080401,0.3376506,0.0241638,0.131903,0.0326451,0.03413515,0.4444786,0.3203225,0.0123845,0.3841099,0.2604825,0.0380698,0.02341495,0.02492965,0.03062635,0.337357407,0.32329325,0.6055148295003966,0.010235413153457,0,0.139054128440367,0.09081871921182266,0.1412024096385542,0,0.22562341040462427,0.4740390557939914,0.002851407942238268,3.508230452674897e-5
62,0.1712478,0.09491695,0.29278335,0.2295935,0.04210135,0.02483615,0.0525912,0.46381695,0.0017969,0.16970505,0.251498,0.311446056,0.2110601,0.12793095,0.31028315,0.0212109,0.10335065,0.0244426,0.0144075,0.46470265,0.24017175,0.00998495,0.32454785,0.1590282,0.036618,0.0076296,0.0072505,0.01170365,0.270490003,0.251498,0.5522946867565425,0.0011377740303541316,0,0.1137625382262997,0.026104926108374383,0.013618072289156628,0,0.34422167630057804,0.2900381974248927,0.020430830324909745,0
63,0.086394,0.0592212,0.1820768,0.1456084,0.01914455,0.01393065,0.03233315,0.4249592,0,0.13655505,0.1513408,0.204406725,0.13875145,0.0931719,0.24378595,0.01328125,0.04887755,0.00717485,0.0033932,0.4407437,0.1175363,0.0030804,0.2169727,0.04584815,0.0271031,0,1.1645e-4,7.65e-6,0.166080933,0.1513408,0.4548852498017447,1.3086003372681282e-4,0,0.07985565749235474,0.00271871921182266,0,0,0.445995183044316,0.11072446351931332,0.04554375451263538,0
64,0.02991915,0.0177276,0.043775,0.06654905,0.0017459,0.0026741,0.00394485,0.34070975,0,0.08646795,0.0402526,0.061515563,0.02737255,0.0636191,0.13326555,0.0049929,0.0139876,6.8e-5,1.7e-6,0.37275815,0.0154343,6.8e-6,0.06801615,0.00402815,0.0144789,0,0,0,0.041807278,0.0402526,0.3224798572561459,0,0,0.03877538226299694,0,0,0,0.5226076107899806,0.009203004291845496,0.07797819494584839,0
65,2.414e-4,2.533e-4,0,0.00544935,0,0,0,0.20904985,0,0.02837725,0,2.30775e-4,0,0.02796075,0.01807525,0,6.29e-5,0,0,0.2587332,0,0,3.077e-4,0,0.002567,0,0,0,3.077e-5,0,0.18486375892149087,0,0,0.012813914373088686,0,0,0,0.5618196531791908,0,0.11271812274368231,0
66,0,0,0,0,0,0,0,0.04970205,0,2.312e-4,0,0,0,2.465e-5,0,0,0,0,0,0.1021156,0,0,0,0,0,0,0,0,0,0,0.08079294210943697,0,0,9.571865443425077e-4,0,0,0,0.5600905587668593,0,0.14918779783393504,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02750293417922283,0,0,0,0,0,0,0.5200626204238922,0,0.16444873646209388,3.896090534979424e-4
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006614115781126091,0,0,0,0,0,0,0.4337887283236994,0,0.15315776173285198,0.009233230452674896
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32789152215799616,0,0.11102483754512636,0.048502057613168725
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20254344894026977,0,0.06857227436823103,0.14206440329218106
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002821585160202361,0,0,0,0,0.0010933734939759035,0.09049653179190752,0,0.03596151624548736,0.2707854938271605
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027191568296795955,0,0,0,0,0.05796987951807229,0.02580847784200385,0,0.015666137184115525,0.4023803497942387
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09173170320404722,0.010762772277227722,0,0,0,0.17994096385542172,0.003308477842003853,0,0.006854729241877256,0.511268621399177
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1937160202360877,0.095910099009901,0,0,0,0.3078873493975904,7.196531791907515e-5,0,7.379061371841155e-4,0.5867333333333333
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3101841483979764,0.23913069306930693,0,0,0.03911204819277108,0.3921777108433735,0,0,0,0.6187360082304526
